,latitude,longitude,listing_id
100571,40.7421,-73.9788,6812548
100574,40.7603,-73.961,6912781
100577,40.7752,-73.9887,6931240
100583,40.7081,-74.0065,6947000
100591,40.759,-73.9621,6844961
100593,40.71,-74.0143,6935502
100596,40.7333,-73.9796,6925837
100597,40.7894,-73.9764,6909915
100598,40.7427,-73.9794,6812831
100600,40.7865,-73.9744,6868650
100601,40.7481,-73.9564,6891734
100602,40.7033,-73.92,6925811
100604,40.7238,-73.9902,6932120
100605,40.7047,-74.0076,6847239
10061,40.7466,-73.9779,7120960
100613,40.7838,-73.9535,6880824
100614,40.7705,-73.9485,6889991
100617,40.7706,-73.9501,6890852
100619,40.8441,-73.9406,6851578
100620,40.7568,-73.9982,6839190
100622,40.6905,-73.9668,6920989
100624,40.753,-73.9695,6899246
100626,40.8071,-73.9552,6876602
100628,40.7749,-73.9782,6813199
100629,40.6461,-73.9617,6866253
100630,40.7318,-73.9864,6879298
100633,40.7633,-73.9785,6943593
100634,40.6774,-73.9583,6941339
100636,40.7628,-73.9849,6877936
100638,40.6621,-73.9793,6860098
10064,40.7247,-73.9935,7134800
100640,40.8233,-73.9532,6919760
100641,40.7343,-74.0094,6893051
100642,40.7632,-73.9907,6897686
100644,40.745,-73.9863,6898951
100646,40.7705,-73.9485,6905541
100648,40.6493,-73.974,6859023
100649,40.7729,-73.9485,6906328
100650,40.7625,-73.9864,6860123
100657,40.8222,-73.94,6915828
100658,40.7586,-73.9838,6891232
100659,40.8246,-73.9508,6894024
100660,40.7805,-73.9464,6837641
100661,40.7974,-73.9708,6858262
100662,40.8021,-73.9392,6861869
100663,40.6898,-73.9797,6826214
100664,40.7334,-74.0047,6836651
100670,40.7735,-73.9064,6905805
100671,40.7771,-73.9515,6815069
100672,40.7601,-73.99,6888729
100677,40.7863,-73.971,6851174
10068,40.7767,-73.9456,7206584
100684,40.7669,-73.9344,6898347
100685,40.7338,-74.0009,6858693
100686,40.7494,-73.8801,6877608
100688,40.8419,-73.9377,6882555
100689,40.7321,-74.008,6861263
100690,40.779,-73.9461,6858022
100692,40.7292,-73.986,6829656
100694,40.7381,-73.992,6872957
100697,40.7369,-73.8633,6890888
1007,40.7222,-73.9464,7132576
10070,40.7316,-73.9838,7158560
100703,40.7559,-73.9658,6904435
100709,40.7549,-73.969,6893404
100710,40.7198,-73.9991,6843855
100718,40.7446,-73.974,6820208
100721,40.7826,-73.9509,6875471
100723,40.7238,-73.9902,6929152
100725,40.7854,-73.9752,6919083
100727,40.7075,-74.0059,6932695
100729,40.6736,-73.9659,6842582
10073,40.8063,-73.9157,7111226
100732,40.7538,-73.974,6921560
100734,40.7792,-73.9514,6920295
100735,40.7621,-73.9638,6913971
100737,40.7785,-73.9759,6821744
100739,40.6906,-73.9827,6874221
100740,40.764,-73.9799,6912685
100742,40.7073,-74.0046,6829725
100743,40.7802,-73.9504,6843776
100744,40.7582,-73.9622,6912023
100748,40.7348,-73.9865,6916320
100751,40.7409,-73.9812,6890825
100753,40.7606,-73.9963,6883577
100765,40.7775,-73.9536,6940273
100767,40.7081,-74.0065,6918304
10077,40.7616,-73.9936,7174416
100770,40.7487,-73.9901,6919459
100772,40.8365,-73.9441,6815148
100774,40.7993,-73.9625,6860165
100776,40.7635,-73.9799,6945704
100789,40.7528,-73.9709,6909329
10079,40.7087,-73.955,7205608
100791,40.7346,-74.0018,6927091
100793,40.7885,-73.9749,6876991
100797,40.6882,-73.9615,6869355
100798,40.7568,-73.9982,6855104
10080,40.7756,-73.9846,7113729
100805,40.7416,-73.9216,6847902
100808,40.7562,-73.9964,6822899
100809,40.8064,-73.9181,6947346
100811,40.7462,-73.9757,6816525
100812,40.7295,-73.9893,7471358
100813,40.7619,-73.9854,6831743
100814,40.7373,-74.0042,6848609
100816,40.7447,-73.9774,6946711
100818,40.7606,-73.9994,6893068
10082,40.7084,-74.0008,7127584
100823,40.6629,-73.9846,6939964
100826,40.7716,-73.9812,6844925
100827,40.7165,-73.9505,6856878
100829,40.771,-73.9533,6874598
100833,40.7725,-73.9819,6839398
100837,40.7239,-73.9798,6822645
100839,40.7787,-73.909,6938914
10084,40.8309,-73.9486,7107647
100840,40.7579,-73.9129,6877332
100841,40.7284,-73.9992,6858267
100842,40.7655,-73.9817,6893222
100849,40.7439,-73.9971,6885465
10085,40.7719,-73.9861,7221513
100850,40.7847,-74.0059,6934243
100852,40.708,-74.0149,6842868
100853,40.7301,-73.9927,6815144
100854,40.7233,-73.9946,6814331
10086,40.7602,-73.9689,7203554
100860,40.7454,-73.9845,6948152
100862,40.7681,-73.9563,6911398
100869,40.7678,-73.9915,6861074
100870,40.7401,-73.9887,6876221
100873,40.7327,-73.9931,6913597
100874,40.7396,-74.0035,6889276
100875,40.6907,-73.9216,6855891
100876,40.86,-73.9052,6869303
100880,40.7972,-73.9488,6911357
100881,40.8539,-73.9318,6870397
100883,40.7699,-73.9488,6939391
100885,40.7624,-73.9964,6859150
100886,40.7404,-73.929,6851544
100890,40.6927,-73.986,6813023
100894,40.7658,-73.9781,6867693
100897,40.7351,-73.978,6856105
100899,40.7365,-73.8676,6944002
100900,40.7988,-73.9694,6935188
100902,40.753,-73.9958,6839675
100903,40.7864,-73.9421,6944661
100904,40.7976,-73.968,6837078
100906,40.7383,-74.0006,6906479
100907,40.7617,-73.9617,6942482
100909,40.7297,-74.004,6819306
100910,40.7717,-73.9518,6913510
100911,40.7957,-73.9705,6866267
100914,40.7401,-73.9822,6908846
100920,40.7594,-73.9712,6898949
100921,40.7061,-74.0111,6905253
100922,40.8713,-73.9148,6835051
100923,40.8266,-73.9398,6871631
100924,40.7803,-73.9466,6829004
100925,40.6661,-73.9882,6884221
100931,40.7035,-74.0109,6871672
100933,40.7437,-73.9851,6905296
100940,40.7454,-73.9776,6855165
100942,40.7192,-73.9828,6842827
100944,40.7067,-74.0101,6907132
100945,40.7334,-74.0047,6916552
100946,40.7348,-73.9865,6879257
100947,40.7779,-73.9515,6818561
10095,40.7658,-73.9171,7181422
100950,40.7638,-73.9941,6842179
100951,40.8025,-73.9587,7233989
100953,40.753,-73.9695,6889021
10096,40.7723,-73.9587,7215344
100960,40.7062,-74.0099,6883273
100962,40.7231,-74.0044,6852703
100963,40.7213,-73.9952,6926583
100964,40.8247,-73.949,6915800
100969,40.7105,-73.9532,6831467
100971,40.8013,-73.9606,6821452
100972,40.7104,-73.9486,6883437
100974,40.7079,-74.0099,6933890
100976,40.795,-73.9708,6934577
100979,40.7748,-73.9551,6867668
100980,40.731,-73.9831,6947775
100981,40.8031,-73.957,6930654
100983,40.7412,-73.9772,6883606
100984,40.7669,-73.9621,6864846
100985,40.7443,-73.9805,6919587
100987,40.7463,-73.9773,6833014
100988,40.7299,-73.9826,6881215
100989,40.728,-73.9832,6912936
100992,40.7676,-73.9601,6899009
100997,40.7548,-73.9944,6868106
101,40.6455,-73.961,7152345
1010,40.7689,-73.9681,7128756
101003,40.7466,-73.9779,6948199
101005,40.7482,-74.0051,6863735
101007,40.7775,-73.9835,6882915
101008,40.7334,-74.0047,6944605
101012,40.7743,-73.9874,6841107
101013,40.7691,-73.9857,6901910
101018,40.7081,-74.0065,6920508
101020,40.7652,-73.9897,6847735
101021,40.7283,-73.9875,6825563
101023,40.743,-73.9805,6898733
101024,40.7989,-73.9535,6929970
101026,40.7678,-73.9915,6932844
101028,40.6905,-73.9668,6921047
101034,40.7739,-73.9529,6859304
101035,40.6692,-73.9503,6822568
101036,40.7568,-73.9982,6942565
101038,40.7299,-73.9819,6938531
101041,40.7039,-73.9425,6940656
101042,40.7593,-73.9959,6940346
101045,40.7537,-73.9682,6946188
101049,40.7376,-73.9738,6846621
101050,40.7061,-74.0111,6941049
101051,40.7331,-73.9972,6891065
101053,40.7587,-73.9838,6925476
101058,40.708,-74.0149,6826600
10106,40.8404,-73.9375,7203769
101063,40.844,-73.9414,6915739
101067,40.7678,-73.9869,6891018
101068,40.7295,-74.0029,6823888
101075,40.709,-74.0169,6864205
101078,40.7436,-73.9727,6918418
101080,40.694,-73.9828,6931405
101083,40.7512,-74.0026,6891659
101084,40.748,-73.981,6847176
101085,40.7324,-73.9875,6919461
101089,40.7177,-73.9907,6920256
10109,40.7806,-73.947,7128909
101090,40.7922,-73.9645,6912967
101091,40.7742,-73.9475,6940633
101092,40.7073,-74.0046,6826714
101097,40.7487,-73.9425,6901980
101099,40.8031,-73.957,6935960
10110,40.8152,-73.9473,7146381
101101,40.7786,-73.9478,6879782
101103,40.7535,-73.9742,6861041
101106,40.7559,-73.9649,6863617
101111,40.7324,-73.9875,6821958
101113,40.8342,-73.9427,6893488
101114,40.778,-73.9489,6857707
101115,40.7688,-73.9547,6830576
101124,40.6729,-73.9822,6838698
101125,40.7565,-73.9973,6889078
101126,40.7203,-73.9549,6853168
101131,40.7562,-73.9968,6816665
101132,40.6828,-73.9525,6827297
101140,40.7593,-73.9959,6918988
101142,40.7369,-73.979,6930674
101143,40.8242,-73.9527,6882782
101144,40.7835,-73.9827,6898722
101146,40.8226,-73.9527,6875649
101147,40.7803,-73.9496,6898448
101149,40.7074,-74.0069,6830585
101150,40.7612,-73.9978,6830996
101151,40.8221,-73.9538,6821866
101154,40.7787,-73.9453,6849984
101155,40.7695,-73.9603,6860853
101159,40.6814,-73.9485,6903318
101160,40.8441,-73.8292,6819855
101163,40.7716,-73.9506,6890545
101164,40.7988,-73.9356,6851114
101167,40.7404,-73.9795,6859431
101168,40.7466,-73.9788,6851964
101172,40.7716,-73.9506,6881565
101174,40.724,-73.9828,6918256
101175,40.7963,-73.9625,6887897
101178,40.7369,-73.979,6865163
10118,40.6769,-73.9249,7172941
101180,40.7571,-73.9673,6858424
101181,40.6853,-73.913,6821552
101182,40.7505,-74.0022,6943092
101188,40.7225,-73.9925,7127433
10119,40.7491,-73.9789,7095129
101191,40.8234,-73.9457,6875692
101194,40.7902,-73.9678,6842651
101196,40.7998,-73.9609,6891417
101199,40.7815,-73.9528,6844802
10120,40.6889,-73.9576,7132994
101206,40.7711,-73.9564,6945746
101209,40.7391,-73.9964,6845522
101211,40.7594,-73.9712,6902166
101212,40.6258,-73.9415,6835573
101213,40.7423,-73.981,6841133
101214,40.7562,-73.9968,6886182
101215,40.6754,-73.9182,6826434
101217,40.7609,-73.986,6840217
101225,40.7611,-73.9989,6906575
101228,40.8163,-73.9416,6887263
101230,40.7118,-73.8258,6848897
101232,40.7075,-74.0043,6886787
101239,40.7704,-73.9566,6868527
10124,40.7726,-73.926,7123155
101240,40.7637,-73.9635,6839714
101246,40.753,-73.9958,6845238
101247,40.7111,-74.0055,6931604
101248,40.7334,-74.0047,7056188
101249,40.7277,-73.9833,6844221
10125,40.7817,-73.9824,7166042
101252,40.73,-73.9804,6837517
101254,40.7592,-73.9948,6881356
101255,40.7473,-73.9736,6815012
101258,40.7239,-73.9947,6869500
101263,40.6913,-73.9825,6843529
101266,40.7984,-73.9682,6895790
101267,40.7718,-73.9829,6853837
101268,40.7074,-74.0069,6918830
101269,40.7547,-73.981,6847795
101270,40.7834,-73.9834,6944094
101273,40.7596,-73.9926,6936495
101275,40.8676,-73.8952,6832401
101276,40.6963,-73.9239,6814785
101277,40.7307,-73.9837,6832956
101280,40.7481,-73.97710000000001,6845553
101282,40.7283,-73.9875,6833760
101283,40.7553,-73.9955,6859925
101285,40.7177,-73.9984,6871165
101287,40.6402,-73.9567,6902138
10129,40.8514,-73.9347,7135326
101290,40.7568,-73.9982,6814881
101294,40.7072,-73.967,6893149
101300,40.7064,-74.01,6937242
101301,40.7783,-73.9804,6846253
101303,40.8087,-73.9598,6874285
101305,40.7747,-73.9506,6851288
101307,40.7632,-73.9907,6895470
101308,40.706,-74.0086,6862415
10131,40.7923,-73.97710000000001,7150349
101310,40.7286,-73.8487,6848528
101311,40.7739,-73.9528,6863644
101312,40.7067,-74.0072,6902029
101313,40.7688,-73.9576,6842058
101315,40.7606,-73.9963,6917169
101316,40.7802,-73.9444,6868246
101317,40.7067,-74.0101,6815977
101318,40.7767,-73.9456,6838060
101323,40.7297,-73.9794,6820740
101325,40.7796,-73.9528,6816785
101326,40.7613,-73.9998,6847063
101333,40.6764,-73.9578,6941324
101334,40.7367,-74.0014,6862542
101337,40.7255,-73.9798,6862948
101339,40.708,-74.0149,6926640
101341,40.7296,-73.9999,6830905
101344,40.7376,-73.9938,6910278
101346,40.7998,-73.9596,6906607
101349,40.7959,-73.9742,6878371
101350,40.7379,-73.9728,6920455
101351,40.7773,-73.9478,6819246
101354,40.764,-73.9819,6841218
101355,40.7749,-73.9532,6913221
101356,40.7447,-73.9782,6882156
101357,40.7225,-73.9925,6824146
101358,40.7951,-73.9676,6875322
101359,40.7074,-74.0122,6860183
10136,40.7436,-73.9727,7092611
101361,40.7983,-73.9416,6929729
101363,40.7604,-73.987,6838154
101367,40.7481,-73.9748,6911812
10137,40.7456,-73.9797,7109631
101373,40.7344,-74.001,6913669
101374,40.7465,-73.9767,6836785
101375,40.7401,-73.9887,6873603
101377,40.7766,-73.9452,6887679
101379,40.7272,-73.9801,6865962
10138,40.7634,-73.9638,7226056
101380,40.7401,-73.9815,6860585
101386,40.7461,-73.9776,6849771
101387,40.6821,-73.9801,6860171
101389,40.7265,-73.9851,6825162
10139,40.7756,-73.9846,7129774
101392,40.661,-73.9812,6841114
101396,40.7657,-73.8194,6878759
101401,40.841,-73.952,6943899
101404,40.8276,-73.9413,6897909
101407,40.7286,-73.9849,6925088
101408,40.6978,-73.9838,6921218
101413,40.7441,-73.9964,6892122
101416,40.7239,-73.9901,6825332
101417,40.6775,-73.9507,6846032
101420,40.7673,-73.968,6917633
101421,40.7866,-73.9731,6835863
101422,40.7622,-73.9495,6826309
101423,40.7448,-73.9784,6911894
101425,40.7993,-73.9689,6892743
10143,40.7059,-73.8928,7232746
101433,40.7074,-74.0076,7742631
10144,40.7696,-73.9567,7182317
101440,40.7297,-73.9999,6930429
101442,40.73,-73.9864,6887523
101452,40.7562,-73.9968,6839796
101454,40.7128,-74.0059,6948401
101457,40.7354,-74.0056,6904679
10146,40.7506,-73.9713,7232627
101461,40.7152,-73.9564,6817202
101467,40.737,-73.9803,6836210
101469,40.7382,-73.9918,6818618
101472,40.7506,-73.9979,6814162
101473,40.7768,-73.9457,6864980
101474,40.7461,-73.9757,6855480
101476,40.7327,-73.9933,6823845
10148,40.7194,-73.9964,7128045
101484,40.7254,-73.9873,6826475
101485,40.7334,-74.0047,7222201
101486,40.6923,-73.905,6820326
101496,40.7316,-73.9839,6851165
101497,40.7705,-73.9503,6881819
101498,40.7758,-73.9566,6939704
101499,40.7467,-73.9778,6849151
1015,40.7056,-74.0162,7124104
10150,40.7967,-73.9485,7176059
101501,40.7801,-73.9544,6864765
101503,40.7301,-73.9942,6851532
101509,40.7442,-73.8925,6839525
10151,40.8618,-73.9268,7228345
101510,40.7233,-73.9915,6910484
101511,40.7702,-73.964,6927905
101518,40.7522,-74.0042,6891652
101520,40.8021,-73.945,6910673
101523,40.7765,-73.9571,6864837
101525,40.7643,-73.9905,6913288
101528,40.7701,-73.955,6865192
10153,40.73,-73.9804,7150096
101530,40.7423,-73.9995,6863935
101531,40.7595,-73.9887,6842869
101532,40.7456,-73.9797,6846674
101534,40.7468,-73.9903,6832372
101538,40.7518,-73.9944,6920348
10154,40.8035,-73.9663,7157355
101540,40.887,-73.9088,6938470
101542,40.7279,-73.9829,6846449
101544,40.7637,-73.9937,6832557
101546,40.7634,-73.9638,6912847
101548,40.7243,-74.0103,6833354
101553,40.7364,-73.9809,6867330
101555,40.7638,-73.994,6842206
101556,40.764,-73.9819,6938445
10156,40.7605,-73.9678,7091162
101561,40.7716,-73.9506,6922749
101562,40.7845,-73.9503,6920062
101566,40.7327,-73.8638,6840735
101567,40.7105,-74.0134,6822384
101568,40.7599,-73.9908,6861218
101569,40.7647,-73.9826,6920690
101571,40.7536,-73.9739,6852821
101574,40.7265,-73.9851,6876515
101581,40.7567,-73.9676,6842398
101584,40.7266,-74.0013,6874980
101594,40.7285,-73.861,6942042
101597,40.7878,-73.9799,6926332
1016,40.7947,-73.9667,7096061
101600,40.7298,-73.9817,6895718
101601,40.6661,-73.9882,6883925
101602,40.8206,-73.9456,6882502
101605,40.7512,-74.0026,6941348
101608,40.708,-74.0149,6883073
101612,40.7568,-73.9982,6925010
101616,40.7413,-73.9781,6882248
101617,40.7205,-73.9793,6856669
101619,40.7356,-73.9789,6907259
101620,40.7587,-73.9916,6903521
101621,40.708,-74.0149,6855788
101623,40.7621,-73.9956,6916374
101624,40.7802,-73.9478,6939489
101627,40.7769,-73.9459,6925780
10163,40.758,-73.9543,7117474
101630,40.7481,-73.9564,6855747
101631,40.7109,-74.0165,6864772
101634,40.7643,-73.9918,6851586
101635,40.708,-74.0149,6825604
10164,40.7228,-73.9846,7208772
101644,40.7832,-73.9482,6909227
101646,40.7723,-73.9533,6940852
101647,40.8023,-73.9617,6939685
101649,40.6907,-73.9216,6842623
10165,40.7568,-73.9982,7099995
101650,40.7635,-73.9848,6931494
101652,40.7215,-73.9566,6905835
101659,40.7494,-73.9875,6896530
101663,40.7404,-73.9795,6823765
101664,40.7606,-73.9963,6849844
101668,40.7811,-73.9482,6844930
101674,40.7356,-73.9789,6906470
101675,40.7478,-74.0008,6918331
101678,40.7654,-73.9899,6894332
101681,40.7334,-74.0047,6869265
101682,40.726,-73.9784,6814363
101686,40.7984,-73.9632,6854394
101688,40.7571,-73.9647,6907230
10169,40.7436,-73.9727,7093331
101693,40.7596,-73.99,6840313
101695,40.7692,-73.9596,6873590
101698,40.7162,-74.0095,6904891
1017,40.65,-73.9642,7152668
101709,40.7295,-74.0008,6814951
10171,40.7067,-74.0072,7185366
101710,40.7405,-74.0007,6945741
101713,40.7399,-73.9864,6813607
101714,40.7962,-73.9461,6867396
101715,40.7792,-73.9492,6948151
101717,40.7518,-73.9398,6822756
10172,40.7545,-73.9976,7099407
101720,40.7829,-73.973,6899455
101721,40.7399,-73.9864,6925683
101723,40.6905,-73.9668,6820033
101725,40.7827,-73.9461,6877317
101727,40.7611,-73.9877,6873355
101730,40.7129,-73.9896,6837089
101732,40.7778,-73.9119,6891893
101733,40.7679,-73.9546,6816465
101736,40.7322,-73.9876,6910423
101741,40.7939,-73.9737,6889741
101744,40.7534,-73.9713,6850839
101745,40.7709,-73.9917,6893520
101746,40.7947,-73.9401,6917120
101747,40.7412,-73.9772,6852357
101748,40.7494,-73.9875,6917681
101749,40.6805,-73.9624,6864374
101752,40.776,-73.9556,6875134
101757,40.776,-73.9556,6908040
101759,40.6867,-73.957,6906466
10176,40.7694,-73.9185,7179868
